RGPHAE;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
cr.__segre_gatta;4730;4905;5086;5273;5465;5664;5869;6081;6300;6526;6760;7002;7252
departement_koungheul;163438;169478;175731;182183;188842;195712;202803;210123;217682;225494;233574;241935;250593
com._koungheul;20942;21716;22517;23344;24197;25077;25986;26924;27892;28893;29929;31000;32110
arrondissement_ida_mouride;57745;59879;62088;64368;66720;69148;71653;74239;76910;79670;82525;85479;88538
cr.__saly_escale;22799;23642;24514;25414;26343;27301;28290;29311;30366;31456;32583;33749;34957
cr.__fass_thiekene;15867;16453;17060;17687;18333;19000;19689;20399;21133;21892;22676;23488;24328
cr.__ida_mouride;19079;19784;20514;21267;22044;22846;23674;24529;25411;26323;27266;28242;29253
arrondissement_lour_escale;36541;37891;39289;40732;42221;43757;45342;46979;48669;50415;52222;54091;56027
cr.__lour_escale;22530;23363;24225;25114;26032;26979;27956;28965;30008;31084;32198;33351;34544
cr.__ribot_escale;14011;14529;15065;15618;16189;16778;17386;18013;18661;19331;20024;20740;21483
arrondissement_missirah_wade;48210;49992;51836;53739;55703;57730;59822;61981;64211;66515;68898;71365;73919
cr.__gainthe_pathe;15490;16062;16655;17267;17898;18549;19221;19915;20631;21371;22137;22930;23750
cr.__maka_yop;13823;14334;14863;15408;15972;16553;17152;17771;18411;19071;19755;20462;21194
cr.__missirah_wadene;18896;19594;20317;21063;21833;22627;23447;24293;25167;26071;27005;27972;28973
departement_malem_hoddar;94662;98160;101782;105519;109376;113355;117462;121701;126080;130604;135284;140127;145142
com._malem_hoddar;7879;8170;8472;8783;9104;9435;9777;10130;10494;10871;11260;11663;12081
arrondissement_darou_minam_ii;30035;31145;32294;33480;34703;35966;37269;38614;40003;41439;42924;44460;46052
cr.__darou_minam_ii;14866;15415;15984;16571;17177;17802;18447;19112;19800;20510;21245;22006;22793
cr.__n.dioum__n.gainth;8087;8386;8695;9015;9344;9684;10035;10397;10771;11158;11557;11971;12399
cr.__khelcom;1665;1727;1790;1856;1924;1994;2066;2141;2218;2297;2379;2465;2553
cr.__ndiobene_samba_lamo;5418;5618;5826;6039;6260;6488;6723;6966;7216;7475;7743;8020;8307
arrondissement_sagna;56748;58845;61016;63257;65568;67954;70416;72958;75582;78295;81100;84003;87010
cr.__dianke_souf;19036;19740;20468;21219;21995;22795;23621;24473;25354;26264;27205;28179;29187
cr.__sagna;37712;39106;40548;42037;43574;45159;46795;48484;50228;52031;53895;55825;57822
region_kaolack;960875;990748;1021656;1053535;1086464;1120404;1155433;1191566;1228746;1267014;1306304;1346613;1388007
zoneurbaine_kaolack;338760;355678;370861;386648;403078;420151;437909;456370;475524;495402;515990;537298;559367
zonerurale_kaolack;622115;635069;650795;666889;683386;700252;717524;735196;753221;771611;790314;809314;828640
departement_kaolack;488765;503960;519682;535898;552648;569912;587730;606110;625022;644488;664473;684977;706033
com._kaolack;233707;240973;248490;256244;264253;272508;281028;289816;298859;308167;317723;327527;337595
com._kahone;14231;14673;15131;15603;16091;16594;17112;17648;18198;18765;19347;19944;20557
com._gandiaye;13819;14249;14693;15152;15625;16113;16617;17137;17671;18222;18787;19367;19962
com._ndoffane;12898;13299;13714;14142;14584;15039;15510;15995;16494;17007;17535;18076;18631
com._sibassor;8140;8393;8655;8925;9204;9491;9788;10094;10409;10733;11066;11408;11758
arrondissement_ndiedieng;90743;93564;96483;99494;102603;105809;109117;112529;116040;119654;123365;127171;131080
cr.__keur_soce;26967;27805;28673;29568;30492;31444;32427;33441;34485;35559;36661;37793;38954
cr.__ndiaffate;34705;35784;36900;38052;39241;40467;41732;43037;44380;45762;47181;48637;50132
cr.__ndiedieng;29070;29974;30909;31873;32870;33896;34956;36049;37174;38332;39520;40740;41992
arrondissement_koumbal;72010;74249;76565;78954;81422;83965;86591;89298;92085;94953;97897;100918;104020
cr.__latmingue;28814;29710;30637;31593;32580;33598;34648;35732;36847;37994;39172;40381;41623
cr.__thiare;23626;24361;25120;25904;26714;27548;28410;29298;30212;31153;32119;33111;34128
cr.__keur_baka;19571;20179;20809;21458;22129;22820;23534;24270;25027;25806;26607;27428;28271
arrondissement_ngothie;43216;44560;45950;47383;48864;50391;51966;53591;55264;56985;58752;60565;62427
cr.__dya;14949;15414;15895;16391;16903;17431;17976;18538;19116;19712;20323;20950;21594
cr.__ndiebel;13529;13950;14385;14834;15297;15775;16268;16777;17301;17839;18393;18960;19543
cr.__thiomby;14737;15195;15669;16158;16663;17184;17721;18275;18845;19432;20035;20653;21288
departement_nioro;356927;368024;379505;391347;403578;416186;429198;442620;456430;470646;485240;500213;515590
com._nioro;20784;21430;22099;22788;23501;24235;24992;25774;26578;27406;28256;29128;30023
com._keur_madiabel;10542;10870;11209;11559;11920;12292;12677;13073;13481;13901;14332;14774;15228
arrondissement_medina_sabakh;89727;92517;95403;98380;101455;104624;107895;111269;114741;118314;121983;125747;129613
cr.__kayemor;22524;23224;23949;24696;25468;26264;27085;27932;28803;29700;30621;31566;32536
cr.__medina_sabakh;43362;44710;46105;47544;49030;50561;52142;53773;55450;57177;58950;60769;62637
cr.__ngayene;23842;24583;25350;26141;26958;27800;28670;29566;30489;31438;32413;33413;34440
arrondissement_paoskoto;141700;146105;150663;155365;160221;165226;170391;175720;181203;186846;192640;198585;204689
cr.__gainte_kaye;27586;28444;29331;30246;31192;32166;33172;34209;35276;36375;37503;38660;39849
cr.__paoskoto;16214;16718;17240;17778;18333;18906;19497;20107;20734;21380;22043;22723;23422
cr.__porokhane;33056;34084;35147;36244;37377;38544;39749;40992;42271;43588;44939;46326;47750
cr.__taiba_niassene;27539;28395;29281;30195;31138;32111;33115;34151;35216;36313;37439;38594;39781
cr._dabaly;10934;11274;11626;11988;12363;12749;13148;13559;13982;14418;14865;15323;15794
cr._darou_salam;26371;27191;28039;28914;29818;30749;31711;32702;33723;34773;35851;36957;38094
arrondissement_wack_ngouna;94174;97102;100131;103255;106483;109809;113242;116784;120428;124178;128029;131980;136037
cr.__keur_maba_diakhou;27372;28223;29103;30012;30950;31916;32914;33944;35003;36093;37212;38360;39540
cr.__ndrame_escale;20537;21175;21836;22517;23221;23947;24695;25468;26262;27080;27920;28781;29666
cr.__wack_ngouna;36911;38059;39246;40470;41735;43039;44385;45773;47201;48671;50180;51729;53319
cr.__k._mandongo;9354;9645;9946;10256;10577;10907;11248;11600;11962;12334;12717;13109;13512
departement_guinguineo;115184;118765;122470;126292;130239;134307;138506;142838;147295;151882;156592;161424;166386
com._guinguineo;16386;16895;17423;17966;18528;19106;19704;20320;20954;21607;22277;22964;23670
com._fass;3905;4026;4152;4282;4415;4553;4696;4843;4994;5149;5309;5473;5641
com._mboss;4347;4482;4622;4766;4915;5069;5227;5391;5559;5732;5910;6092;6279
arrondissement_mbadakhoune;38273;39463;40694;41964;43275;44627;46023;47462;48943;50467;52032;53637;55286
cr.__mbadakhoune;14323;14768;15229;15704;16195;16701;17223;17762;18316;18886;19472;20073;20690
cr.__ndiago;10572;10901;11241;11591;11954;12327;12713;13110;13519;13940;14373;14816;15272
cr.__ngathie_naoude;13378;13794;14224;14668;15127;15599;16087;16590;17107;17640;18187;18749;19325
arrondissement_nguelou;52273;53898;55580;57314;59105;60952;62857;64823;66846;68927;71065;73258;75510
